,Name,Explanation,backbone,batch_size,dataset,epochs,frozen_feature_extractor,lr,start_time,test_accuracy,test_average_precision,reduced,test_balanced_accuracy,record,softmax,execution_time,augment_prob,cosine,pretrained,accuracy,best_iteration,feature_extractor,model,n_iterations,n_shot,n_way,optimizer,task,augment,base_classes,eval_period,train_n_way,checkpoint_dir,comment,full_name,output_dir,screen_name,session_dir,test_ts_steps,train_ts_steps,all_global_prototypes,image_size,balanced_batches,val_batch_size,dataset_classes
155,ResNet18_2%_CIFAR10_424418-31-18-09-05-11-2019,,ResNet18,5.0,CIFAR10,10.0,1.0,0.001,Tue Nov  5 09:18:31 2019,0.65693359375,,0.98,0.6593587297633785,1.0,0.0,637.7335135936738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,ResNet18_50_CIFAR10_030252-19-30-09-05-11-2019,,ResNet18,4.0,CIFAR10,10.0,1.0,0.001,Tue Nov  5 09:30:19 2019,0.60244140625,,50.0,0.6030717316163552,1.0,0.0,616.9859776496887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,ResNet18_50_CIFAR10_327183-00-45-09-05-11-2019,,ResNet18,4.0,CIFAR10,15.0,1.0,0.001,Tue Nov  5 09:45:00 2019,0.65791015625,,50.0,0.6595268983464497,1.0,0.0,909.4113581180573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,ResNet18_25_CIFAR10_332946-20-01-10-05-11-2019,,ResNet18,4.0,CIFAR10,30.0,1.0,0.001,Tue Nov  5 10:01:20 2019,0.619921875,,25.0,0.6201533289416779,1.0,0.0,1187.405579328537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,ResNet18_10_CIFAR10_542530-12-22-10-05-11-2019,,ResNet18,4.0,CIFAR10,75.0,1.0,0.001,Tue Nov  5 10:22:12 2019,0.57509765625,,10.0,0.5763995919140094,1.0,0.0,1886.5898151397705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,ResNet18_50_GTSRB_098353-26-55-10-05-11-2019,,ResNet18,4.0,GTSRB,10.0,1.0,0.001,Tue Nov  5 10:55:26 2019,0.3666460755813954,,50.0,0.3724402476829301,1.0,0.0,709.241706609726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,ResNet18_25_GTSRB_448849-32-07-11-05-11-2019,,ResNet18,4.0,GTSRB,20.0,1.0,0.001,Tue Nov  5 11:07:32 2019,0.3697837936046512,,25.0,0.38387208751528257,1.0,0.0,863.261227607727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,ResNet18_10_GTSRB_199223-14-22-11-05-11-2019,,ResNet18,4.0,GTSRB,50.0,1.0,0.001,Tue Nov  5 11:22:14 2019,0.3644712936046512,,10.0,0.3705638917386393,1.0,0.0,1203.194951295853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,ResNet18_100%_GTSRB_662856-41-42-11-05-11-2019,,ResNet18,256.0,GTSRB,30.0,1.0,0.001,Tue Nov  5 11:42:41 2019,0.5374945494186046,,0.0,0.342522818461144,1.0,0.0,4943.175974130631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,ResNet18_80%_GTSRB_159505-23-05-13-05-11-2019,,ResNet18,204.0,GTSRB,30.0,1.0,0.001,Tue Nov  5 13:05:23 2019,0.5275672238372092,,0.2,0.33560853020259657,1.0,0.0,4352.517818450928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,ResNet18_60%_GTSRB_545278-13-18-14-05-11-2019,,ResNet18,153.0,GTSRB,30.0,1.0,0.001,Tue Nov  5 14:18:13 2019,0.5313244912790698,,0.4,0.3429423210935942,1.0,0.0,3851.227524518967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,ResNet18_40%_GTSRB_513137-41-22-15-05-11-2019,,ResNet18,102.0,GTSRB,30.0,1.0,0.001,Tue Nov  5 15:22:41 2019,0.5309247819767442,,0.6,0.3386331634752759,1.0,0.0,3129.0756089687347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,GoogLeNet_GTSRB_918757-35-06-23-05-11-2019,,GoogLeNet,128.0,GTSRB,25.0,1.0,0.001,Tue Nov  5 23:06:35 2019,0.5267427178764388,,0.0,0.35817896750103784,1.0,0.0,5014.424014568329,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,GoogLeNet_GTSRB_464103-16-36-00-06-11-2019,,GoogLeNet,32.0,GTSRB,25.0,0.0,0.001,Wed Nov  6 00:36:16 2019,0.9786392405063292,,0.0,0.975409262708276,1.0,0.0,11066.637074947355,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,GoogLeNet_GTSRB_646316-02-41-03-06-11-2019,,GoogLeNet,32.0,GTSRB,25.0,1.0,0.001,Wed Nov  6 03:41:02 2019,0.6369749712313003,,0.0,0.5909366723135167,1.0,0.0,4967.6267042160025,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,GoogLeNet_GTSRB_278608-09-04-05-06-11-2019,,GoogLeNet,32.0,GTSRB,25.0,0.0,0.001,Wed Nov  6 05:04:09 2019,0.9819620253164556,,0.0,0.9803885186742952,1.0,0.0,11089.17500638962,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,GoogLeNet_GTSRB_489266-16-09-08-06-11-2019,,GoogLeNet,32.0,GTSRB,25.0,1.0,0.001,Wed Nov  6 08:09:16 2019,0.6081846950517836,,0.0,0.5561084548934605,1.0,0.0,4977.82639503479,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,ResNet18_GTSRB_220223-41-56-01-10-11-2019,,ResNet18,32.0,GTSRB,15.0,1.0,0.001,Sun Nov 10 01:56:41 2019,0.6621188147295742,,0.0,0.6271662569928731,1.0,0.0,2392.210745334625,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,GoogLeNet_GTSRB_030844-53-36-02-10-11-2019,,GoogLeNet,32.0,GTSRB,15.0,1.0,0.001,Sun Nov 10 02:36:53 2019,0.5957278481012658,,0.0,0.5414952293321186,1.0,0.0,2958.338915586472,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,ResNet18_GTSRB_342010-31-26-03-10-11-2019,,ResNet18,32.0,GTSRB,15.0,0.0,0.001,Sun Nov 10 03:26:31 2019,0.9782436708860759,,0.0,0.9744336510069788,1.0,0.0,5296.728057384491,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,GoogLeNet_GTSRB_982207-07-55-04-10-11-2019,,GoogLeNet,32.0,GTSRB,15.0,0.0,0.001,Sun Nov 10 04:55:07 2019,0.9721518987341772,,0.0,0.9680628010991296,1.0,0.0,6630.036180019379,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,ResNet18_GTSRB_495987-57-45-06-10-11-2019,,ResNet18,32.0,GTSRB,30.0,1.0,0.001,Sun Nov 10 06:45:57 2019,0.6560414269275029,,0.5,0.6150749295901691,1.0,0.0,2629.026840686798,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,GoogLeNet_GTSRB_259423-01-30-07-10-11-2019,,GoogLeNet,32.0,GTSRB,30.0,1.0,0.001,Sun Nov 10 07:30:01 2019,0.5917721518987342,,0.5,0.5384825274688351,1.0,0.0,3191.117310523987,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,ResNet18_GTSRB_478004-30-23-08-10-11-2019,,ResNet18,32.0,GTSRB,30.0,0.0,0.001,Sun Nov 10 08:23:30 2019,0.9798259493670886,,0.5,0.9767896741672252,1.0,0.0,5495.5212812423715,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,GoogLeNet_GTSRB_153319-21-55-09-10-11-2019,,GoogLeNet,32.0,GTSRB,30.0,0.0,0.001,Sun Nov 10 09:55:21 2019,0.9691096087456846,,0.5,0.9632796264509343,1.0,0.0,6855.7046859264365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,ResNet18_GTSRB_005626-52-49-11-10-11-2019,,ResNet18,32.0,GTSRB,45.0,1.0,0.001,Sun Nov 10 11:49:52 2019,0.5400028768699655,,0.9,0.4852499629477548,1.0,0.0,1688.569365978241,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
